Id,language,Quote,Quote_url,Author,Author_Profile,Tags
1908694,en,"Serial killers do, on a small scale, what governments do on a large one. They are a product of the times and these are bloodthirsty times. Even psychopaths have emotions if you dig deep enough. Then again, maybe they don't.",https://quotepark.com/quotes/1908694-richard-ramirez-serial-killers-do-on-a-small-scale-what-governme/,Richard Ramirez,https://quotepark.com/authors/richard-ramirez/,"Time, deep, dig, digging, doing, emotion, evening, governance, government, killer, maybe, product, production, productivity, scale, serial, timing"
1088292,en,"But what's real? You can't find the truth, you just pick the lie you like the best.",https://quotepark.com/quotes/1088292-marilyn-manson-but-whats-real-you-cant-find-the-truth-you-jus/,Marilyn Manson,https://quotepark.com/authors/marilyn-manson/,"Truth, Lie, finding, likeness, pick, real"
1357418,en,Don't loaf and invite inspiration; light out after it with a club.,https://quotepark.com/quotes/1357418-jack-london-dont-loaf-and-invite-inspiration-light-out-after/,Jack London,https://quotepark.com/authors/jack-london/,"Light, club, inspiration, invitation, invite, lighting, loaf"
1039048,en,I would rather die standing up to live life on my knees.,https://quotepark.com/quotes/1039048-ernesto-che-guevara-i-would-rather-die-standing-up-to-live-life-on-my/,Ernesto Che Guevara,https://quotepark.com/authors/ernesto-che-guevara/,"Life, die, knee, living, stand, standing"
1369610,en,"As usual, there is a great woman behind every idiot.",https://quotepark.com/quotes/1369610-john-lennon-as-usual-there-is-a-great-woman-behind-every-idio/,John Lennon,https://quotepark.com/authors/john-lennon/,"greatness, idiot, usual, woman, For women, For Men"
1817084,en,"The importance of oaks both in the economy and in the forest ecosystem is big, but the exceptional part is that this tree plays in the old beliefs and legends.",https://quotepark.com/quotes/1817084-marek-zukow-karczewski-the-importance-of-oaks-both-in-the-economy-and-in/,Marek Żukow-Karczewski,https://quotepark.com/authors/marek-zukow-karczewski/,"Tree, Parting, belief, economy, ecosystem, exception, forest, import, importance, legend, oak, part, play"
677739,en,"Music touches us emotionally, where words alone can't.",https://quotepark.com/quotes/677739-johnny-depp-music-touches-us-emotionally-where-words-alone-ca/,Johnny Depp,https://quotepark.com/authors/johnny-depp/,"Music, touch, use, word, wording"
1332605,en,"I think I'm dumb
or maybe just happy
think I'm just happy…",https://quotepark.com/quotes/1332605-kurt-cobain-i-think-im-dumb-or-maybe-just-happy-think-im-jus/,Kurt Cobain,https://quotepark.com/authors/kurt-cobain/,"Happiness, Thinking, happiness, maybe"
1314755,en,Tomorrow belongs to those who can hear it coming,https://quotepark.com/quotes/1314755-david-bowie-tomorrow-belongs-to-those-who-can-hear-it-coming/,David Bowie,https://quotepark.com/authors/david-bowie/,"hearing, tomorrow, Good Night"
1892286,en,"People in general, not just girls, but people who are younger are obviously extremely impressionable. And I do think it’s important. There's obviously a lot of different body images that are thrown around in society in general. Some things look like they’re more acceptable and some things are made to feel like they’re unacceptable. So, I think it’s very important that it empowers people in general. I think that anytime you can make someone who potentially might not feel as great about themselves as they should, feel better about themselves, I think that’s always a positive thing.",https://quotepark.com/quotes/1892286-harry-styles-people-in-general-not-just-girls-but-people-who/,Harry Styles,https://quotepark.com/authors/harry-styles/,"People, Feeling, Girl, Thinking, acceptance, body, difference, doing, extreme, feel, general, generation, generator, greatness, image, import, importance, likeness, look, lot, making, might, position, potential, society, someone, thing"
